output_text=D:/code/cpp/vs/myKCF/joaofaro/joao/run/output_data/20260608_0931.txt
effective_feature_channels=22
Running KCF evaluation
config=D:\code\cpp\vs\myKCF\joaofaro\joao\configs\dut_video14_hog18_cn4.yaml
experiment.name=dut_video14_hog18_cn4
experiment.description=DUT AUAV video14 image sequence with 18-channel FHOG and 4-channel CN
input.type=image_sequence
video=
image_dir=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0/video14
image_extension=.jpg
image_start_index=1
image_index_digits=5
annotation=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0GT/video14_gt.txt
save_video=false
output_video=D:/code/cpp/vs/myKCF/joaofaro/joao/run/dut_video14_output.mp4
fixed_window=false
multiscale=true
hog.enabled=true
hog.channels=18
cn.enabled=true
cn.channels=4
lab.enabled=false
fusion.mode=concat
frame=225, load_ms=21.556, kcf_ms=10.018, target=valid, CLE=3.354, IoU=0.546
frame=226, load_ms=21.951, kcf_ms=10.213, target=valid, CLE=0.707, IoU=0.522
frame=227, load_ms=21.520, kcf_ms=10.212, target=valid, CLE=2.693, IoU=0.582
frame=228, load_ms=21.312, kcf_ms=9.867, target=valid, CLE=4.243, IoU=0.512
frame=229, load_ms=21.579, kcf_ms=9.929, target=valid, CLE=4.272, IoU=0.485
frame=230, load_ms=21.530, kcf_ms=11.133, target=valid, CLE=4.610, IoU=0.564
frame=231, load_ms=21.197, kcf_ms=9.943, target=valid, CLE=2.693, IoU=0.535
frame=232, load_ms=21.702, kcf_ms=9.904, target=valid, CLE=1.118, IoU=0.514
frame=233, load_ms=21.491, kcf_ms=9.925, target=valid, CLE=3.536, IoU=0.482
frame=234, load_ms=21.182, kcf_ms=9.703, target=valid, CLE=1.118, IoU=0.600
frame=235, load_ms=21.195, kcf_ms=10.083, target=valid, CLE=2.693, IoU=0.547
frame=236, load_ms=21.235, kcf_ms=10.266, target=valid, CLE=1.118, IoU=0.535
frame=237, load_ms=21.428, kcf_ms=9.932, target=valid, CLE=2.550, IoU=0.457
frame=238, load_ms=21.163, kcf_ms=9.557, target=valid, CLE=0.500, IoU=0.488
frame=239, load_ms=21.265, kcf_ms=10.169, target=valid, CLE=5.099, IoU=0.539
frame=240, load_ms=21.724, kcf_ms=10.020, target=valid, CLE=5.831, IoU=0.497
